date,day,elapsed_seconds,solved,checked,revealed,streak_eligible,solve_date,first_opened_date
2018-10-08,Mon,1095,1,0,0,0,2018-10-11,2018-10-11
2018-10-09,Tue,2445,1,0,0,0,2018-10-12,2018-10-11
2018-10-10,Wed,3071,0,0,0,0,,2018-10-12
2018-10-11,Thu,2875,1,1,1,0,2018-10-11,2018-10-11
2018-10-15,Mon,1691,1,1,1,0,2018-10-16,2018-10-15
2018-10-16,Tue,1906,1,0,1,0,2018-10-17,2018-10-16
2018-10-17,Wed,1471,0,0,0,0,,2018-10-17
2018-10-18,Thu,2838,1,1,1,0,2018-10-20,2018-10-19
2018-10-19,Fri,2747,0,1,0,0,,2018-10-19
2018-10-22,Mon,1467,1,0,1,0,2018-10-24,2018-10-23
2018-10-23,Tue,1723,0,0,0,0,,2018-10-24
2018-10-24,Wed,1714,0,1,1,0,,2018-10-25
2018-10-25,Thu,1367,1,1,1,0,2018-10-27,2018-10-26
2018-10-26,Fri,823,0,0,0,0,,2018-10-28
2018-10-28,Sun,3423,0,1,1,0,,2018-10-27
2018-10-29,Mon,1743,1,0,1,0,2018-10-30,2018-10-29
2018-10-30,Tue,1284,0,0,0,0,,2018-10-30
2018-10-31,Wed,2089,0,1,0,0,,2018-11-01
2018-11-01,Thu,515,0,0,0,0,,2018-11-02
2018-11-02,Fri,165,0,0,0,0,,2018-11-02
2018-11-04,Sun,6,0,0,0,0,,2018-11-03
2018-11-05,Mon,562,0,0,0,0,,2018-11-05
2018-11-06,Tue,1413,0,1,0,0,,2018-11-06
2018-11-07,Wed,1281,0,0,0,0,,2018-11-10
2018-11-12,Mon,1126,0,1,1,0,,2018-11-14
2018-11-13,Tue,674,1,0,1,0,2018-11-20,2018-11-18
2018-11-19,Mon,874,0,1,0,0,,2018-11-20
2018-11-20,Tue,2372,1,1,1,0,2018-11-21,2018-11-21
2018-11-21,Wed,1086,0,1,0,0,,2018-11-21
2018-11-26,Mon,965,1,1,1,0,2018-11-29,2018-11-28
2018-11-27,Tue,1726,1,1,1,0,2018-12-02,2018-11-29
2018-11-28,Wed,513,0,0,0,0,,2018-12-02
2018-12-10,Mon,1197,1,1,1,0,2018-12-12,2018-12-10
2018-12-11,Tue,1037,0,1,0,0,,2018-12-12
2018-12-12,Wed,151,0,0,0,0,,2018-12-13
2018-12-13,Thu,1222,0,1,0,0,,2018-12-13
2018-12-14,Fri,3517,0,1,0,0,,2018-12-15
2018-12-17,Mon,617,1,1,0,0,2018-12-18,2018-12-17
2018-12-18,Tue,1984,0,1,0,0,,2018-12-18
2018-12-19,Wed,2100,0,1,0,0,,2018-12-20
2018-12-20,Thu,1825,0,1,0,0,,2018-12-22
2018-12-21,Fri,903,0,1,0,0,,2018-12-24
2018-12-24,Mon,1527,0,1,0,0,,2018-12-23
2018-12-25,Tue,910,0,1,0,0,,2018-12-27
2018-12-26,Wed,1509,1,1,1,0,2018-12-27,2018-12-27
2018-12-27,Thu,840,0,1,0,0,,2018-12-27
2018-12-28,Fri,70,0,0,0,0,,2018-12-30
2018-12-31,Mon,1267,1,1,0,0,2018-12-31,2018-12-31
2019-01-01,Tue,1752,0,1,0,0,,2019-01-04
2019-01-02,Wed,2202,0,0,0,0,,2019-02-06
2019-01-07,Mon,462,0,0,0,0,,2019-01-06
2019-01-08,Tue,1025,1,1,0,0,2019-01-10,2019-01-08
2019-01-09,Wed,1979,1,1,0,0,2019-01-10,2019-01-10
2019-01-10,Thu,4529,1,1,1,0,2019-01-11,2019-01-10
2019-01-11,Fri,6908,1,1,0,0,2019-01-11,2019-01-11
2019-01-12,Sat,3127,0,0,0,0,,2019-01-12
2019-01-13,Sun,5119,0,0,0,0,,2019-01-13
2019-01-14,Mon,1975,1,1,1,0,2019-01-14,2019-01-14
2019-01-15,Tue,3907,1,1,1,0,2019-01-16,2019-01-15
2019-01-16,Wed,2527,1,0,0,0,2019-01-17,2019-01-16
2019-01-17,Thu,4163,1,1,0,0,2019-01-17,2019-01-17
2019-01-18,Fri,6834,0,1,0,0,,2019-01-18
2019-01-19,Sat,1485,0,0,0,0,,2019-01-19
2019-01-20,Sun,1879,0,1,0,0,,2019-01-20
2019-01-21,Mon,808,1,1,0,0,2019-01-20,2019-01-20
2019-01-22,Tue,1957,1,1,1,0,2019-01-21,2019-01-21
2019-01-23,Wed,4085,0,1,0,0,,2019-01-22
2019-01-24,Thu,2043,0,1,0,0,,2019-01-24
2019-01-25,Fri,4495,0,1,0,0,,2019-01-25
2019-01-26,Sat,4971,1,1,0,0,2019-02-02,2019-01-26
2019-01-27,Sun,1113,0,0,0,0,,2019-01-28
2019-01-28,Mon,1027,1,1,0,0,2019-01-28,2019-01-28
